area_code, area_name, x15_19_p_3_percent_6_13_6_13, x15_19_p_1_no_6_13_6_13, feature_code, feature_name
206011105,"Brunswick",2.870565752279331,721,"206011105","Brunswick"
206011106,"Brunswick East",2.669756195849279,265,"206011106","Brunswick East"
206011107,"Brunswick West",3.5603277762079726,504,"206011107","Brunswick West"
206011108,"Coburg",4.50857629755863,1217,"206011108","Coburg"
206011109,"Pascoe Vale South",5.87650392761261,591,"206011109","Pascoe Vale South"
206021110,"Alphington - Fairfield",4.85370051635112,423,"206021110","Alphington - Fairfield"
206021111,"Northcote",3.591447789878279,897,"206021111","Northcote"
206021112,"Thornbury",3.182517371240651,600,"206021112","Thornbury"
206031113,"Ascot Vale",3.857525957505331,561,"206031113","Ascot Vale"
206031114,"Essendon - Aberfeldie",6.42125237191651,1692,"206031114","Essendon - Aberfeldie"
206031115,"Flemington",4.510204081632652,442,"206031115","Flemington"
206031116,"Moonee Ponds",4.747550866616426,693,"206031116","Moonee Ponds"
206041117,"Carlton",8.734293594851357,1425,"206041117","Carlton"
206041118,"Docklands",3.37683304184044,251,"206041118","Docklands"
206041119,"East Melbourne",1.6626190920978898,89,"206041119","East Melbourne"
206041120,"Flemington Racecourse",0,0,"206041120","Flemington Racecourse"
206041121,"Kensington",3.05573894180892,324,"206041121","Kensington"
206041122,"Melbourne",6.45590341722938,1893,"206041122","Melbourne"
206041123,"North Melbourne",5.162608359560488,935,"206041123","North Melbourne"
206041124,"Parkville",17.195729537366486,1208,"206041124","Parkville"
206041125,"South Yarra - West",4.139932783379163,271,"206041125","South Yarra - West"
206041126,"Southbank",3.594039777450921,562,"206041126","Southbank"
206041127,"West Melbourne",null,0,"206041127","West Melbourne"
206051128,"Albert Park",3.1023919702796108,476,"206051128","Albert Park"
206051129,"Elwood",2.777260018639331,447,"206051129","Elwood"
206051130,"Port Melbourne",2.55868686259127,424,"206051130","Port Melbourne"
206051131,"Port Melbourne Industrial",0,0,"206051131","Port Melbourne Industrial"
206051132,"South Melbourne",3.09401709401709,362,"206051132","South Melbourne"
206051133,"St Kilda",2.1438798808095707,554,"206051133","St Kilda"
206051134,"St Kilda East",2.6016164238097983,441,"206051134","St Kilda East"
206061135,"Armadale",3.543098889476471,335,"206061135","Armadale"
206061136,"Prahran - Windsor",2.154506009675331,432,"206061136","Prahran - Windsor"
206061137,"South Yarra - East",2.7815777473780217,488,"206061137","South Yarra - East"
206061138,"Toorak",4.9089469517023,682,"206061138","Toorak"
206071139,"Abbotsford",3.147176797284791,204,"206071139","Abbotsford"
206071140,"Carlton North - Princes Hill",3.1492520526375007,280,"206071140","Carlton North - Princes Hill"
206071141,"Collingwood",2.782369146005511,202,"206071141","Collingwood"
206071142,"Fitzroy",2.82652872713837,306,"206071142","Fitzroy"
206071143,"Fitzroy North",3.1949907682427616,398,"206071143","Fitzroy North"
206071144,"Richmond (Vic.)",2.898991949123879,857,"206071144","Richmond (Vic.)"
206071145,"Yarra - North",3.932142455903828,350,"206071145","Yarra - North"
