area_code, area_name, x15_19_p_3_percent_6_13_6_13, x15_19_p_1_no_6_13_6_13, feature_code, feature_name
208011168,"Beaumaris",6.906729634002364,936,"208011168","Beaumaris"
208011169,"Brighton (Vic.)",6.121825639235538,1403,"208011169","Brighton (Vic.)"
208011170,"Brighton East",6.538554508097659,1082,"208011170","Brighton East"
208011171,"Cheltenham - Highett (West)",5.32207744540283,580,"208011171","Cheltenham - Highett (West)"
208011172,"Hampton",6.382978723404261,1155,"208011172","Hampton"
208011173,"Sandringham - Black Rock",5.67952558537629,929,"208011173","Sandringham - Black Rock"
208021174,"Bentleigh - McKinnon",6.278007204990772,1429,"208021174","Bentleigh - McKinnon"
208021175,"Bentleigh East",5.83512544802867,1628,"208021175","Bentleigh East"
208021176,"Carnegie",3.7240054249547887,659,"208021176","Carnegie"
208021177,"Caulfield - North",6.2067352666043,1327,"208021177","Caulfield - North"
208021178,"Caulfield - South",5.264049703473591,932,"208021178","Caulfield - South"
208021179,"Elsternwick",5.03622239678799,577,"208021179","Elsternwick"
208021180,"Hughesdale",5.24731745616331,401,"208021180","Hughesdale"
208021181,"Murrumbeena",4.603912244677398,426,"208021181","Murrumbeena"
208021182,"Ormond - Glen Huntly",4.930420469848872,659,"208021182","Ormond - Glen Huntly"
208031183,"Aspendale Gardens - Waterways",7.773131767985419,725,"208031183","Aspendale Gardens - Waterways"
208031184,"Braeside",0,0,"208031184","Braeside"
208031185,"Carrum - Patterson Lakes",6.199553494762152,722,"208031185","Carrum - Patterson Lakes"
208031186,"Chelsea - Bonbeach",3.80862903808629,527,"208031186","Chelsea - Bonbeach"
208031187,"Chelsea Heights",6.46479658183169,348,"208031187","Chelsea Heights"
208031188,"Cheltenham - Highett (East)",4.942429345105362,1086,"208031188","Cheltenham - Highett (East)"
208031189,"Edithvale - Aspendale",5.678258145363412,725,"208031189","Edithvale - Aspendale"
208031190,"Mentone",5.53198176960553,704,"208031190","Mentone"
208031191,"Moorabbin - Heatherton",5.09464828230895,436,"208031191","Moorabbin - Heatherton"
208031192,"Moorabbin Airport",null,0,"208031192","Moorabbin Airport"
208031193,"Mordialloc - Parkdale",5.59208875056473,1114,"208031193","Mordialloc - Parkdale"
208041194,"Malvern - Glen Iris",4.94560789763742,1032,"208041194","Malvern - Glen Iris"
208041195,"Malvern East",6.0906581840295635,1302,"208041195","Malvern East"
