area_code, area_name, x15_19_p_3_percent_6_13_6_13, x15_19_p_1_no_6_13_6_13, feature_code, feature_name
214011370,"Carrum Downs",6.840613700772011,1400,"214011370","Carrum Downs"
214011371,"Frankston",5.66614941254711,1278,"214011371","Frankston"
214011372,"Frankston North",5.81299979495592,1134,"214011372","Frankston North"
214011373,"Frankston South",6.80871775458331,1259,"214011373","Frankston South"
214011374,"Langwarrin",7.88435140700069,1838,"214011374","Langwarrin"
214011375,"Seaford (Vic.)",5.03435204927742,850,"214011375","Seaford (Vic.)"
214011376,"Skye - Sandhurst",5.986714193130272,739,"214011376","Skye - Sandhurst"
214021377,"Dromana",5.0611172845742,501,"214021377","Dromana"
214021378,"Flinders",6.282145481263782,342,"214021378","Flinders"
214021379,"Hastings - Somers",7.622854455678348,1621,"214021379","Hastings - Somers"
214021380,"Mornington",5.26514515858366,1255,"214021380","Mornington"
214021381,"Mount Eliza",7.661024400967248,1394,"214021381","Mount Eliza"
214021382,"Mount Martha",6.622015771848328,1226,"214021382","Mount Martha"
214021383,"Point Nepean",4.28099669768838,713,"214021383","Point Nepean"
214021384,"Rosebud - McCrae",4.89996114996115,1009,"214021384","Rosebud - McCrae"
214021385,"Somerville",7.24564645276891,1294,"214021385","Somerville"
