sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
206011105,"Brunswick",10,1.0380330819999999E9,"206011105","Brunswick"
206011106,"Brunswick East",92,954990435,"206011106","Brunswick East"
206011107,"Brunswick West",95,986131428,"206011107","Brunswick West"
206011108,"Coburg",109,1131456059,"206011108","Coburg"
206011109,"Pascoe Vale South",87,9.030887810000001E8,"206011109","Pascoe Vale South"
206021110,"Alphington - Fairfield",73,75776415,"206021110","Alphington - Fairfield"
206021111,"Northcote",78,809665804,"206021111","Northcote"
206021112,"Thornbury",91,9.446101049999999E8,"206021112","Thornbury"
206031113,"Ascot Vale",118,1.2248790369999998E9,"206031113","Ascot Vale"
206031114,"Essendon - Aberfeldie",67,695482165,"206031114","Essendon - Aberfeldie"
206031115,"Flemington",175,1.8165578940000002E9,"206031115","Flemington"
206031116,"Moonee Ponds",78,809665804,"206031116","Moonee Ponds"
206041117,"Carlton",34,3.5293124789999995E9,"206041117","Carlton"
206041118,"Docklands",117,1.2144987059999998E9,"206041118","Docklands"
206041119,"East Melbourne",59,612439518,"206041119","East Melbourne"
206041120,"Flemington Racecourse",null,null,"206041120","Flemington Racecourse"
206041121,"Kensington",106,1.1003150670000002E9,"206041121","Kensington"
206041122,"Melbourne",267,2.7715483289999995E9,"206041122","Melbourne"
206041123,"North Melbourne",182,1.8892202089999998E9,"206041123","North Melbourne"
206041124,"Parkville",117,1.2144987059999998E9,"206041124","Parkville"
206041125,"South Yarra - West",68,705862496,"206041125","South Yarra - West"
206041126,"Southbank",104,1079554405,"206041126","Southbank"
206041127,"West Melbourne",null,null,"206041127","West Melbourne"
206051128,"Albert Park",71,737003488,"206051128","Albert Park"
206051129,"Elwood",65,674721503,"206051129","Elwood"
206051130,"Port Melbourne",91,9.446101049999999E8,"206051130","Port Melbourne"
206051131,"Port Melbourne Industrial",null,null,"206051131","Port Melbourne Industrial"
206051132,"South Melbourne",12,1.2456396979999995E9,"206051132","South Melbourne"
206051133,"St Kilda",87,9.030887810000001E8,"206051133","St Kilda"
206051134,"St Kilda East",84,871947789,"206051134","St Kilda East"
206061135,"Armadale",67,695482165,"206061135","Armadale"
206061136,"Prahran - Windsor",96,9.965117590000002E8,"206061136","Prahran - Windsor"
206061137,"South Yarra - East",95,986131428,"206061137","South Yarra - East"
206061138,"Toorak",7,726623157,"206061138","Toorak"
206071139,"Abbotsford",87,9.030887810000001E8,"206071139","Abbotsford"
206071140,"Carlton North - Princes Hill",79,820046135,"206071140","Carlton North - Princes Hill"
206071141,"Collingwood",189,1961882525,"206071141","Collingwood"
206071142,"Fitzroy",153,1588190616,"206071142","Fitzroy"
206071143,"Fitzroy North",95,986131428,"206071143","Fitzroy North"
206071144,"Richmond (Vic)",95,986131428,"206071144","Richmond (Vic.)"
206071145,"Yarra - North",58,602059188,"206071145","Yarra - North"
