sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
207011146,"Ashburton (Vic)",87,9.030887810000001E8,"207011146","Ashburton (Vic.)"
207011147,"Balwyn",88,9.134691119999998E8,"207011147","Balwyn"
207011148,"Balwyn North",77,799285473,"207011148","Balwyn North"
207011149,"Camberwell",59,612439518,"207011149","Camberwell"
207011150,"Glen Iris - East",5,5.190165409999999E8,"207011150","Glen Iris - East"
207011151,"Hawthorn",86,8.927084510000002E8,"207011151","Hawthorn"
207011152,"Hawthorn East",66,685101834,"207011152","Hawthorn East"
207011153,"Kew",57,591678857,"207011153","Kew"
207011154,"Kew East",68,705862496,"207011154","Kew East"
207011155,"Surrey Hills (West) - Canterbury",57,591678857,"207011155","Surrey Hills (West) - Canterbury"
207021156,"Bulleen",88,9.134691119999998E8,"207021156","Bulleen"
207021157,"Doncaster",94,975751097,"207021157","Doncaster"
207021158,"Doncaster East",101,1048413413,"207021158","Doncaster East"
207021159,"Templestowe",77,799285473,"207021159","Templestowe"
207021160,"Templestowe Lower",77,799285473,"207021160","Templestowe Lower"
207031161,"Blackburn",71,737003488,"207031161","Blackburn"
207031162,"Blackburn South",89,9.238494429999999E8,"207031162","Blackburn South"
207031163,"Box Hill",128,1328682345,"207031163","Box Hill"
207031164,"Box Hill North",95,986131428,"207031164","Box Hill North"
207031165,"Burwood",158,164009227,"207031165","Burwood"
207031166,"Burwood East",124,1.2871610219999998E9,"207031166","Burwood East"
207031167,"Surrey Hills (East) - Mont Albert",66,685101834,"207031167","Surrey Hills (East) - Mont Albert"
