sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
208011168,"Beaumaris",55,570918195,"208011168","Beaumaris"
208011169,"Brighton (Vic)",69,7.162428269999999E8,"208011169","Brighton (Vic.)"
208011170,"Brighton East",68,705862496,"208011170","Brighton East"
208011171,"Cheltenham - Highett (West)",81,8.408067959999999E8,"208011171","Cheltenham - Highett (West)"
208011172,"Hampton",87,9.030887810000001E8,"208011172","Hampton"
208011173,"Sandringham - Black Rock",65,674721503,"208011173","Sandringham - Black Rock"
208021174,"Bentleigh - McKinnon",78,809665804,"208021174","Bentleigh - McKinnon"
208021175,"Bentleigh East",88,9.134691119999998E8,"208021175","Bentleigh East"
208021176,"Carnegie",95,986131428,"208021176","Carnegie"
208021177,"Caulfield - North",78,809665804,"208021177","Caulfield - North"
208021178,"Caulfield - South",88,9.134691119999998E8,"208021178","Caulfield - South"
208021179,"Elsternwick",71,737003488,"208021179","Elsternwick"
208021180,"Hughesdale",113,1172977383,"208021180","Hughesdale"
208021181,"Murrumbeena",87,9.030887810000001E8,"208021181","Murrumbeena"
208021182,"Ormond - Glen Huntly",102,1.0587937439999999E9,"208021182","Ormond - Glen Huntly"
208031183,"Aspendale Gardens - Waterways",65,674721503,"208031183","Aspendale Gardens - Waterways"
208031184,"Braeside",null,null,"208031184","Braeside"
208031185,"Carrum - Patterson Lakes",86,8.927084510000002E8,"208031185","Carrum - Patterson Lakes"
208031186,"Chelsea - Bonbeach",10,1.0380330819999999E9,"208031186","Chelsea - Bonbeach"
208031187,"Chelsea Heights",87,9.030887810000001E8,"208031187","Chelsea Heights"
208031188,"Cheltenham - Highett (East)",85,88232812,"208031188","Cheltenham - Highett (East)"
208031189,"Edithvale - Aspendale",72,7.473838190000001E8,"208031189","Edithvale - Aspendale"
208031190,"Mentone",77,799285473,"208031190","Mentone"
208031191,"Moorabbin - Heatherton",86,8.927084510000002E8,"208031191","Moorabbin - Heatherton"
208031192,"Moorabbin Airport",null,null,"208031192","Moorabbin Airport"
208031193,"Mordialloc - Parkdale",78,809665804,"208031193","Mordialloc - Parkdale"
208041194,"Malvern - Glen Iris",6,622819849,"208041194","Malvern - Glen Iris"
208041195,"Malvern East",88,9.134691119999998E8,"208041195","Malvern East"
