sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
209011196,"Bundoora - East",109,1131456059,"209011196","Bundoora - East"
209011197,"Greensborough",62,643580511,"209011197","Greensborough"
209011198,"Heidelberg - Rosanna",67,695482165,"209011198","Heidelberg - Rosanna"
209011199,"Heidelberg West",161,1671233262,"209011199","Heidelberg West"
209011200,"Ivanhoe",78,809665804,"209011200","Ivanhoe"
209011201,"Ivanhoe East - Eaglemont",46,4.7749521800000006E8,"209011201","Ivanhoe East - Eaglemont"
209011202,"Montmorency - Briar Hill",65,674721503,"209011202","Montmorency - Briar Hill"
209011203,"Viewbank - Yallambie",69,7.162428269999999E8,"209011203","Viewbank - Yallambie"
209011204,"Watsonia",8,830426466,"209011204","Watsonia"
209021205,"Kingsbury",129,1339062676,"209021205","Kingsbury"
209021206,"Preston",132,1370203668,"209021206","Preston"
209021207,"Reservoir - East",154,1.5985709460000002E9,"209021207","Reservoir - East"
209021208,"Reservoir - West",128,1328682345,"209021208","Reservoir - West"
209031209,"Eltham",5,5.190165409999999E8,"209031209","Eltham"
209031210,"Hurstbridge",66,685101834,"209031210","Hurstbridge"
209031211,"Kinglake",125,1.2975413529999998E9,"209031211","Kinglake"
209031212,"Panton Hill - St Andrews",8,830426466,"209031212","Panton Hill - St Andrews"
209031213,"Plenty - Yarrambat",57,591678857,"209031213","Plenty - Yarrambat"
209031214,"Research - North Warrandyte",55,570918195,"209031214","Research - North Warrandyte"
209031215,"Wattle Glen - Diamond Creek",49,5.0863621000000015E7,"209031215","Wattle Glen - Diamond Creek"
209041216,"Bundoora - North",112,1162597052,"209041216","Bundoora - North"
209041217,"Bundoora - West",122,126640036,"209041217","Bundoora - West"
209041218,"Epping",113,1172977383,"209041218","Epping"
209041219,"Lalor",144,1494767638,"209041219","Lalor"
209041220,"Mill Park - North",93,965370766,"209041220","Mill Park - North"
209041221,"Mill Park - South",107,1.1106953979999998E9,"209041221","Mill Park - South"
209041222,"South Morang",73,75776415,"209041222","South Morang"
209041223,"Thomastown",176,1826938224,"209041223","Thomastown"
209041224,"Wallan",85,88232812,"209041224","Wallan"
209041225,"Whittlesea",8,830426466,"209041225","Whittlesea"
