sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
210011226,"Airport West",94,975751097,"210011226","Airport West"
210011227,"Essendon Airport",null,null,"210011227","Essendon Airport"
210011228,"Keilor",92,954990435,"210011228","Keilor"
210011229,"Keilor East",101,1048413413,"210011229","Keilor East"
210011230,"Niddrie - Essendon West",79,820046135,"210011230","Niddrie - Essendon West"
210011231,"Strathmore",59,612439518,"210011231","Strathmore"
210021232,"Gisborne",64,664341172,"210021232","Gisborne"
210021233,"Macedon",79,820046135,"210021233","Macedon"
210021234,"Riddells Creek",51,5.2939687200000006E8,"210021234","Riddells Creek"
210021235,"Romsey",93,965370766,"210021235","Romsey"
210031236,"Coburg North",14,1.4532463149999998E9,"210031236","Coburg North"
210031237,"Fawkner",147,1.5259086309999998E9,"210031237","Fawkner"
210031238,"Glenroy - Hadfield",14,1.4532463149999998E9,"210031238","Glenroy - Hadfield"
210031239,"Pascoe Vale",93,965370766,"210031239","Pascoe Vale"
210041240,"Sunbury",74,768144481,"210041240","Sunbury"
210041241,"Sunbury - South",79,820046135,"210041241","Sunbury - South"
210051242,"Broadmeadows",25,2595082705,"210051242","Broadmeadows"
210051243,"Campbellfield - Coolaroo",252,2.6158433669999995E9,"210051243","Campbellfield - Coolaroo"
210051244,"Craigieburn - Mickleham",116,1204118375,"210051244","Craigieburn - Mickleham"
210051245,"Gladstone Park - Westmeadows",96,9.965117590000002E8,"210051245","Gladstone Park - Westmeadows"
210051246,"Greenvale - Bulla",72,7.473838190000001E8,"210051246","Greenvale - Bulla"
210051247,"Meadow Heights",265,2.7507876670000005E9,"210051247","Meadow Heights"
210051248,"Melbourne Airport",null,null,"210051248","Melbourne Airport"
210051249,"Roxburgh Park - Somerton",172,1.7854169010000002E9,"210051249","Roxburgh Park - Somerton"
210051250,"Tullamarine",106,1.1003150670000002E9,"210051250","Tullamarine"
