sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
211011251,"Bayswater",99,1027652751,"211011251","Bayswater"
211011252,"Boronia - The Basin",97,100689209,"211011252","Boronia - The Basin"
211011253,"Ferntree Gully",92,954990435,"211011253","Ferntree Gully"
211011254,"Knoxfield - Scoresby",88,9.134691119999998E8,"211011254","Knoxfield - Scoresby"
211011255,"Lysterfield",56,5.812985259999998E8,"211011255","Lysterfield"
211011256,"Rowville - Central",75,7.785248120000001E8,"211011256","Rowville - Central"
211011257,"Rowville - North",63,6.539608420000001E8,"211011257","Rowville - North"
211011258,"Rowville - South",71,737003488,"211011258","Rowville - South"
211011259,"Wantirna",81,8.408067959999999E8,"211011259","Wantirna"
211011260,"Wantirna South",86,8.927084510000002E8,"211011260","Wantirna South"
211021261,"Donvale - Park Orchards",89,9.238494429999999E8,"211021261","Donvale - Park Orchards"
211021262,"Warrandyte - Wonga Park",62,643580511,"211021262","Warrandyte - Wonga Park"
211031263,"Bayswater North",76,788905142,"211031263","Bayswater North"
211031264,"Croydon",89,9.238494429999999E8,"211031264","Croydon"
211031265,"Croydon Hills - Warranwood",55,570918195,"211031265","Croydon Hills - Warranwood"
211031266,"Ringwood",88,9.134691119999998E8,"211031266","Ringwood"
211031267,"Ringwood East",76,788905142,"211031267","Ringwood East"
211031268,"Ringwood North",63,6.539608420000001E8,"211031268","Ringwood North"
211041269,"Forest Hill",98,101727242,"211041269","Forest Hill"
211041270,"Mitcham (Vic)",78,809665804,"211041270","Mitcham (Vic.)"
211041271,"Nunawading",89,9.238494429999999E8,"211041271","Nunawading"
211041272,"Vermont",62,643580511,"211041272","Vermont"
211041273,"Vermont South",75,7.785248120000001E8,"211041273","Vermont South"
211051274,"Belgrave - Selby",76,788905142,"211051274","Belgrave - Selby"
211051275,"Chirnside Park",67,695482165,"211051275","Chirnside Park"
211051276,"Healesville - Yarra Glen",106,1.1003150670000002E9,"211051276","Healesville - Yarra Glen"
211051277,"Kilsyth",91,9.446101049999999E8,"211051277","Kilsyth"
211051278,"Lilydale - Coldstream",78,809665804,"211051278","Lilydale - Coldstream"
211051279,"Monbulk - Silvan",96,9.965117590000002E8,"211051279","Monbulk - Silvan"
211051280,"Montrose",7,726623157,"211051280","Montrose"
211051281,"Mooroolbark",84,871947789,"211051281","Mooroolbark"
211051282,"Mount Dandenong - Olinda",73,75776415,"211051282","Mount Dandenong - Olinda"
211051283,"Mount Evelyn",78,809665804,"211051283","Mount Evelyn"
211051284,"Upwey - Tecoma",7,726623157,"211051284","Upwey - Tecoma"
211051285,"Wandin - Seville",88,9.134691119999998E8,"211051285","Wandin - Seville"
211051286,"Yarra Valley",139,1442865984,"211051286","Yarra Valley"
