sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
212011287,"Beaconsfield - Officer",63,6.539608420000001E8,"212011287","Beaconsfield - Officer"
212011288,"Bunyip - Garfield",105,1.0899347359999998E9,"212011288","Bunyip - Garfield"
212011289,"Emerald - Cockatoo",8,830426466,"212011289","Emerald - Cockatoo"
212011290,"Koo Wee Rup",133,1.3805839990000002E9,"212011290","Koo Wee Rup"
212011291,"Pakenham - North",98,101727242,"212011291","Pakenham - North"
212011292,"Pakenham - South",97,100689209,"212011292","Pakenham - South"
212021293,"Berwick - North",66,685101834,"212021293","Berwick - North"
212021294,"Berwick - South",73,75776415,"212021294","Berwick - South"
212021295,"Doveton",205,2.1279678180000005E9,"212021295","Doveton"
212021296,"Endeavour Hills",101,1048413413,"212021296","Endeavour Hills"
212021297,"Hallam",122,126640036,"212021297","Hallam"
212021298,"Narre Warren",97,100689209,"212021298","Narre Warren"
212021299,"Narre Warren North",71,737003488,"212021299","Narre Warren North"
212031300,"Cranbourne",114,1.1833577140000002E9,"212031300","Cranbourne"
212031301,"Cranbourne East",87,9.030887810000001E8,"212031301","Cranbourne East"
212031302,"Cranbourne North",98,101727242,"212031302","Cranbourne North"
212031303,"Cranbourne South",85,88232812,"212031303","Cranbourne South"
212031304,"Cranbourne West",12,1.2456396979999995E9,"212031304","Cranbourne West"
212031305,"Hampton Park - Lynbrook",137,1422105322,"212031305","Hampton Park - Lynbrook"
212031306,"Lynbrook - Lyndhurst",76,788905142,"212031306","Lynbrook - Lyndhurst"
212031307,"Narre Warren South",96,9.965117590000002E8,"212031307","Narre Warren South"
212031308,"Pearcedale - Tooradin",87,9.030887810000001E8,"212031308","Pearcedale - Tooradin"
212041309,"Clarinda - Oakleigh South",10,1.0380330819999999E9,"212041309","Clarinda - Oakleigh South"
212041310,"Clayton South",121,1256020029,"212041310","Clayton South"
212041311,"Dandenong",null,null,"212041311","Dandenong"
212041312,"Dandenong North",121,1256020029,"212041312","Dandenong North"
212041313,"Dingley Village",71,737003488,"212041313","Dingley Village"
212041314,"Keysborough",null,null,"212041314","Keysborough"
212041315,"Noble Park",163,1.6919939240000002E9,"212041315","Noble Park"
212041316,"Noble Park North",111,1.1522167210000002E9,"212041316","Noble Park North"
212041317,"Springvale",null,null,"212041317","Springvale"
212041318,"Springvale South",null,null,"212041318","Springvale South"
212051319,"Ashwood - Chadstone",115,1193738044,"212051319","Ashwood - Chadstone"
212051320,"Clayton",227,2.3563350959999995E9,"212051320","Clayton"
212051321,"Glen Waverley - East",93,965370766,"212051321","Glen Waverley - East"
212051322,"Glen Waverley - West",117,1.2144987059999998E9,"212051322","Glen Waverley - West"
212051323,"Mount Waverley - North",9,9.342297739999999E8,"212051323","Mount Waverley - North"
212051324,"Mount Waverley - South",86,8.927084510000002E8,"212051324","Mount Waverley - South"
212051325,"Mulgrave",88,9.134691119999998E8,"212051325","Mulgrave"
212051326,"Oakleigh - Huntingdale",108,1.1210757290000002E9,"212051326","Oakleigh - Huntingdale"
212051327,"Wheelers Hill",78,809665804,"212051327","Wheelers Hill"
