sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
213011328,"Ardeer - Albion",178,1.8476988859999998E9,"213011328","Ardeer - Albion"
213011329,"Cairnlea",null,null,"213011329","Cairnlea"
213011330,"Deer Park - Derrimut",122,126640036,"213011330","Deer Park - Derrimut"
213011331,"Delahey",126,1.3079216829999995E9,"213011331","Delahey"
213011332,"Keilor Downs",99,1027652751,"213011332","Keilor Downs"
213011333,"Kings Park (Vic)",182,1.8892202089999998E9,"213011333","Kings Park (Vic.)"
213011334,"St Albans - North",156,1.6193316079999998E9,"213011334","St Albans - North"
213011335,"St Albans - South",null,null,"213011335","St Albans - South"
213011336,"Sunshine",115,1193738044,"213011336","Sunshine"
213011337,"Sunshine North",159,16504726,"213011337","Sunshine North"
213011338,"Sunshine West",null,null,"213011338","Sunshine West"
213011339,"Sydenham",108,1.1210757290000002E9,"213011339","Sydenham"
213011340,"Taylors Lakes",74,768144481,"213011340","Taylors Lakes"
213021341,"Altona",89,9.238494429999999E8,"213021341","Altona"
213021342,"Altona Meadows",115,1193738044,"213021342","Altona Meadows"
213021343,"Altona North",14,1.4532463149999998E9,"213021343","Altona North"
213021344,"Newport",71,737003488,"213021344","Newport"
213021345,"Seabrook",96,9.965117590000002E8,"213021345","Seabrook"
213021346,"Williamstown",82,8.511871269999999E8,"213021346","Williamstown"
213031347,"Braybrook",191,1.9826431869999998E9,"213031347","Braybrook"
213031348,"Footscray",159,16504726,"213031348","Footscray"
213031349,"Maribyrnong",83,861567458,"213031349","Maribyrnong"
213031350,"Seddon - Kingsville",89,9.238494429999999E8,"213031350","Seddon - Kingsville"
213031351,"West Footscray - Tottenham",133,1.3805839990000002E9,"213031351","West Footscray - Tottenham"
213031352,"Yarraville",75,7.785248120000001E8,"213031352","Yarraville"
213041353,"Bacchus Marsh",93,965370766,"213041353","Bacchus Marsh"
213041354,"Caroline Springs",98,101727242,"213041354","Caroline Springs"
213041355,"Hillside",9,9.342297739999999E8,"213041355","Hillside"
213041356,"Melton",121,1256020029,"213041356","Melton"
213041357,"Melton South",117,1.2144987059999998E9,"213041357","Melton South"
213041358,"Melton West",97,100689209,"213041358","Melton West"
213041359,"Rockbank - Mount Cottrell",173,1795797232,"213041359","Rockbank - Mount Cottrell"
213041360,"Taylors Hill",83,861567458,"213041360","Taylors Hill"
213051361,"Hoppers Crossing - North",93,965370766,"213051361","Hoppers Crossing - North"
213051362,"Hoppers Crossing - South",119,1235259368,"213051362","Hoppers Crossing - South"
213051363,"Laverton",157,1629711939,"213051363","Laverton"
213051364,"Point Cook",73,75776415,"213051364","Point Cook"
213051365,"Tarneit",85,88232812,"213051365","Tarneit"
213051366,"Truganina",113,1172977383,"213051366","Truganina"
213051367,"Werribee",115,1193738044,"213051367","Werribee"
213051368,"Werribee - South",113,1172977383,"213051368","Werribee - South"
213051369,"Wyndham Vale",94,975751097,"213051369","Wyndham Vale"
