area_code, area_name, x15_19_p_3_percent_6_13_6_13, x15_19_p_1_no_6_13_6_13, feature_code, feature_name
207011146,"Ashburton (Vic.)",6.799803969615288,555,"207011146","Ashburton (Vic.)"
207011147,"Balwyn",8.322237017310254,1375,"207011147","Balwyn"
207011148,"Balwyn North",9.06003867377258,1921,"207011148","Balwyn North"
207011149,"Camberwell",7.38721804511278,1572,"207011149","Camberwell"
207011150,"Glen Iris - East",6.5361782166578495,1112,"207011150","Glen Iris - East"
207011151,"Hawthorn",6.08256762003365,1410,"207011151","Hawthorn"
207011152,"Hawthorn East",5.075586565428548,742,"207011152","Hawthorn East"
207011153,"Kew",6.71443841798963,1696,"207011153","Kew"
207011154,"Kew East",6.25,410,"207011154","Kew East"
207011155,"Surrey Hills (West) - Canterbury",7.47284230631491,1252,"207011155","Surrey Hills (West) - Canterbury"
207021156,"Bulleen",5.08963707914298,582,"207021156","Bulleen"
207021157,"Doncaster",5.5451460981414895,1095,"207021157","Doncaster"
207021158,"Doncaster East",6.721838117186948,1925,"207021158","Doncaster East"
207021159,"Templestowe",6.88638334778838,1191,"207021159","Templestowe"
207021160,"Templestowe Lower",5.168943206326378,719,"207021160","Templestowe Lower"
207031161,"Blackburn",6.002457699215428,1270,"207031161","Blackburn"
207031162,"Blackburn South",5.79317812669193,642,"207031162","Blackburn South"
207031163,"Box Hill",5.610509237452238,1072,"207031163","Box Hill"
207031164,"Box Hill North",6.07255069980006,1063,"207031164","Box Hill North"
207031165,"Burwood",8.511365578533576,996,"207031165","Burwood"
207031166,"Burwood East",5.25577480594782,562,"207031166","Burwood East"
207031167,"Surrey Hills (East) - Mont Albert",6.9615309509861385,713,"207031167","Surrey Hills (East) - Mont Albert"
