area_code, area_name, x15_19_p_1_no_6_13_6_13, x15_19_p_3_percent_6_13_6_13, feature_code, feature_name
209011196,"Bundoora - East",612,6.17059891107078,"209011196","Bundoora - East"
209011197,"Greensborough",1329,6.321647719164722,"209011197","Greensborough"
209011198,"Heidelberg - Rosanna",700,4.7470500474704975,"209011198","Heidelberg - Rosanna"
209011199,"Heidelberg West",770,5.31437642349368,"209011199","Heidelberg West"
209011200,"Ivanhoe",740,6.264815441923468,"209011200","Ivanhoe"
209011201,"Ivanhoe East - Eaglemont",621,7.58704948075748,"209011201","Ivanhoe East - Eaglemont"
209011202,"Montmorency - Briar Hill",935,5.7995285944671915,"209011202","Montmorency - Briar Hill"
209011203,"Viewbank - Yallambie",1127,5.98417671109223,"209011203","Viewbank - Yallambie"
209011204,"Watsonia",508,5.43489889804215,"209011204","Watsonia"
209021205,"Kingsbury",942,8.412216467226294,"209021205","Kingsbury"
209021206,"Preston",1394,4.34470936574723,"209021206","Preston"
209021207,"Reservoir - East",1194,4.48754087270267,"209021207","Reservoir - East"
209021208,"Reservoir - West",1130,4.638180848007216,"209021208","Reservoir - West"
209031209,"Eltham",1864,7.89897448936351,"209031209","Eltham"
209031210,"Hurstbridge",257,7.130965593784682,"209031210","Hurstbridge"
209031211,"Kinglake",280,7.36842105263158,"209031211","Kinglake"
209031212,"Panton Hill - St Andrews",407,7.79544148630531,"209031212","Panton Hill - St Andrews"
209031213,"Plenty - Yarrambat",723,7.609725292074522,"209031213","Plenty - Yarrambat"
209031214,"Research - North Warrandyte",567,8.289473684210524,"209031214","Research - North Warrandyte"
209031215,"Wattle Glen - Diamond Creek",1162,8.323782234957024,"209031215","Wattle Glen - Diamond Creek"
209041216,"Bundoora - North",357,5.792633457731622,"209041216","Bundoora - North"
209041217,"Bundoora - West",333,5.08552229688454,"209041217","Bundoora - West"
209041218,"Epping",1989,5.99475571897887,"209041218","Epping"
209041219,"Lalor",1284,5.841142753161682,"209041219","Lalor"
209041220,"Mill Park - North",1499,8.06607834696513,"209041220","Mill Park - North"
209041221,"Mill Park - South",898,7.216909105521182,"209041221","Mill Park - South"
209041222,"South Morang",2958,5.803186062936508,"209041222","South Morang"
209041223,"Thomastown",1240,5.79954164912773,"209041223","Thomastown"
209041224,"Wallan",985,7.1288991821669,"209041224","Wallan"
209041225,"Whittlesea",524,6.54263953052816,"209041225","Whittlesea"
