area_code, area_name, x15_19_p_3_percent_6_13_6_13, x15_19_p_1_no_6_13_6_13, feature_code, feature_name
210011226,"Airport West",4.33444816053512,324,"210011226","Airport West"
210011227,"Essendon Airport",null,0,"210011227","Essendon Airport"
210011228,"Keilor",6.43437862950058,554,"210011228","Keilor"
210011229,"Keilor East",5.30558968058968,1382,"210011229","Keilor East"
210011230,"Niddrie - Essendon West",6.13879003558719,414,"210011230","Niddrie - Essendon West"
210011231,"Strathmore",7.528572926496797,718,"210011231","Strathmore"
210021232,"Gisborne",7.682661762247122,919,"210021232","Gisborne"
210021233,"Macedon",5.54718118782032,184,"210021233","Macedon"
210021234,"Riddells Creek",7.8654527061203785,311,"210021234","Riddells Creek"
210021235,"Romsey",7.117437722419928,640,"210021235","Romsey"
210031236,"Coburg North",4.386089425124202,309,"210031236","Coburg North"
210031237,"Fawkner",5.8299595141700395,792,"210031237","Fawkner"
210031238,"Glenroy - Hadfield",5.51220488195278,1653,"210031238","Glenroy - Hadfield"
210031239,"Pascoe Vale",4.982126899016978,1115,"210031239","Pascoe Vale"
210041240,"Sunbury",7.884292474431382,1033,"210041240","Sunbury"
210041241,"Sunbury - South",7.09537000395726,1793,"210041241","Sunbury - South"
210051242,"Broadmeadows",7.42060663657242,937,"210051242","Broadmeadows"
210051243,"Campbellfield - Coolaroo",7.4655254398478395,1256,"210051243","Campbellfield - Coolaroo"
210051244,"Craigieburn - Mickleham",7.035563592525622,2918,"210051244","Craigieburn - Mickleham"
210051245,"Gladstone Park - Westmeadows",6.502646098412342,1155,"210051245","Gladstone Park - Westmeadows"
210051246,"Greenvale - Bulla",9.36393038657015,1216,"210051246","Greenvale - Bulla"
210051247,"Meadow Heights",8.842849924204144,1400,"210051247","Meadow Heights"
210051248,"Melbourne Airport",12.025316455696203,19,"210051248","Melbourne Airport"
210051249,"Roxburgh Park - Somerton",8.929443630389416,2011,"210051249","Roxburgh Park - Somerton"
210051250,"Tullamarine",4.483489851560131,296,"210051250","Tullamarine"
