area_code, area_name, x15_19_p_3_percent_6_13_6_13, x15_19_p_1_no_6_13_6_13, feature_code, feature_name
213011328,"Ardeer - Albion",4.370721432332812,332,"213011328","Ardeer - Albion"
213011329,"Cairnlea",7.393075356415476,726,"213011329","Cairnlea"
213011330,"Deer Park - Derrimut",5.27871954584877,1339,"213011330","Deer Park - Derrimut"
213011331,"Delahey",8.845405652820697,773,"213011331","Delahey"
213011332,"Keilor Downs",6.996979720983751,973,"213011332","Keilor Downs"
213011333,"Kings Park (Vic.)",6.777871621621622,963,"213011333","Kings Park (Vic.)"
213011334,"St Albans - North",5.782142499248422,1154,"213011334","St Albans - North"
213011335,"St Albans - South",6.06574637342068,1037,"213011335","St Albans - South"
213011336,"Sunshine",4.291219664618271,412,"213011336","Sunshine"
213011337,"Sunshine North",6.878769338344552,787,"213011337","Sunshine North"
213011338,"Sunshine West",6.324437582708428,1147,"213011338","Sunshine West"
213011339,"Sydenham",7.293619101947682,895,"213011339","Sydenham"
213011340,"Taylors Lakes",8.73164218958611,1635,"213011340","Taylors Lakes"
213021341,"Altona",4.42080378250591,561,"213021341","Altona"
213021342,"Altona Meadows",6.12139652416069,1187,"213021342","Altona Meadows"
213021343,"Altona North",5.211006558311948,731,"213021343","Altona North"
213021344,"Newport",4.692871877148746,819,"213021344","Newport"
213021345,"Seabrook",6.68469860896445,346,"213021345","Seabrook"
213021346,"Williamstown",6.595261278805578,1016,"213021346","Williamstown"
213031347,"Braybrook",6.00354833171178,1049,"213031347","Braybrook"
213031348,"Footscray",3.624090700570161,553,"213031348","Footscray"
213031349,"Maribyrnong",4.9644173883220395,579,"213031349","Maribyrnong"
213031350,"Seddon - Kingsville",3.00558659217877,269,"213031350","Seddon - Kingsville"
213031351,"West Footscray - Tottenham",4.055994256999276,452,"213031351","West Footscray - Tottenham"
213031352,"Yarraville",3.8209680685884,566,"213031352","Yarraville"
213041353,"Bacchus Marsh",7.3696444608801315,1395,"213041353","Bacchus Marsh"
213041354,"Caroline Springs",6.426300480281411,1900,"213041354","Caroline Springs"
213041355,"Hillside",7.50371913121095,1261,"213041355","Hillside"
213041356,"Melton",6.492354261259848,1244,"213041356","Melton"
213041357,"Melton South",6.124864892686188,1190,"213041357","Melton South"
213041358,"Melton West",7.279934562385957,1157,"213041358","Melton West"
213041359,"Rockbank - Mount Cottrell",4.5147529328119385,127,"213041359","Rockbank - Mount Cottrell"
213041360,"Taylors Hill",6.308384269403757,1094,"213041360","Taylors Hill"
213051361,"Hoppers Crossing - North",8.477620877201744,1699,"213051361","Hoppers Crossing - North"
213051362,"Hoppers Crossing - South",7.26069246435845,1426,"213051362","Hoppers Crossing - South"
213051363,"Laverton",4.38542310067943,284,"213051363","Laverton"
213051364,"Point Cook",4.7006224681355615,1903,"213051364","Point Cook"
213051365,"Tarneit",5.7620619874321015,1623,"213051365","Tarneit"
213051366,"Truganina",4.228739394749152,633,"213051366","Truganina"
213051367,"Werribee",7.205772113943033,2307,"213051367","Werribee"
213051368,"Werribee - South",6.53143306811227,747,"213051368","Werribee - South"
213051369,"Wyndham Vale",5.866928875778428,1253,"213051369","Wyndham Vale"
