area_code, area_name, x15_19_p_3_percent_6_13_6_13, x15_19_p_1_no_6_13_6_13, feature_code, feature_name
212011287,"Beaconsfield - Officer",8.651452282157683,834,"212011287","Beaconsfield - Officer"
212011288,"Bunyip - Garfield",8.04800564772326,684,"212011288","Bunyip - Garfield"
212011289,"Emerald - Cockatoo",7.50999111900533,1353,"212011289","Emerald - Cockatoo"
212011290,"Koo Wee Rup",7.03201453935412,503,"212011290","Koo Wee Rup"
212011291,"Pakenham - North",5.90662883672943,916,"212011291","Pakenham - North"
212011292,"Pakenham - South",6.027224801321898,1532,"212011292","Pakenham - South"
212021293,"Berwick - North",7.75684931506849,1812,"212021293","Berwick - North"
212021294,"Berwick - South",7.714521452145218,1870,"212021294","Berwick - South"
212021295,"Doveton",6.362901051496357,708,"212021295","Doveton"
212021296,"Endeavour Hills",7.411332752942962,1958,"212021296","Endeavour Hills"
212021297,"Hallam",7.15999261856431,776,"212021297","Hallam"
212021298,"Narre Warren",7.8389518622111,2130,"212021298","Narre Warren"
212021299,"Narre Warren North",9.120301764785124,677,"212021299","Narre Warren North"
212031300,"Cranbourne",6.86126407095171,1408,"212031300","Cranbourne"
212031301,"Cranbourne East",4.69133637320239,535,"212031301","Cranbourne East"
212031302,"Cranbourne North",7.450956866038757,1242,"212031302","Cranbourne North"
212031303,"Cranbourne South",6.90988161391641,572,"212031303","Cranbourne South"
212031304,"Cranbourne West",6.69243095484966,710,"212031304","Cranbourne West"
212031305,"Hampton Park - Lynbrook",8.33333333333333,2092,"212031305","Hampton Park - Lynbrook"
212031306,"Lynbrook - Lyndhurst",5.736782902137231,816,"212031306","Lynbrook - Lyndhurst"
212031307,"Narre Warren South",8.74875207986689,2629,"212031307","Narre Warren South"
212031308,"Pearcedale - Tooradin",7.29356603282105,560,"212031308","Pearcedale - Tooradin"
212041309,"Clarinda - Oakleigh South",6.23877184386739,764,"212041309","Clarinda - Oakleigh South"
212041310,"Clayton South",4.82563174053373,613,"212041310","Clayton South"
212041311,"Dandenong",5.885986889521908,1715,"212041311","Dandenong"
212041312,"Dandenong North",6.74616841742724,1567,"212041312","Dandenong North"
212041313,"Dingley Village",6.7498581962563815,714,"212041313","Dingley Village"
212041314,"Keysborough",7.1371504660452665,1608,"212041314","Keysborough"
212041315,"Noble Park",5.325404908177006,1621,"212041315","Noble Park"
212041316,"Noble Park North",5.69693838005426,441,"212041316","Noble Park North"
212041317,"Springvale",5.42424676502889,1136,"212041317","Springvale"
212041318,"Springvale South",7.60091273900386,966,"212041318","Springvale South"
212051319,"Ashwood - Chadstone",5.06705572077886,903,"212051319","Ashwood - Chadstone"
212051320,"Clayton",6.524150448724407,1294,"212051320","Clayton"
212051321,"Glen Waverley - East",7.87524725148351,1712,"212051321","Glen Waverley - East"
212051322,"Glen Waverley - West",7.790119113434192,1550,"212051322","Glen Waverley - West"
212051323,"Mount Waverley - North",7.10392783311408,1134,"212051323","Mount Waverley - North"
212051324,"Mount Waverley - South",5.73868581375109,1055,"212051324","Mount Waverley - South"
212051325,"Mulgrave",5.26315789473684,1017,"212051325","Mulgrave"
212051326,"Oakleigh - Huntingdale",5.02480249862208,1094,"212051326","Oakleigh - Huntingdale"
212051327,"Wheelers Hill",6.4296369965191404,1293,"212051327","Wheelers Hill"
